# add # in front of each unused line																		
# change image spearater from  /  to /																		
# [CHG] change AOF102 to AOF037
# [CHG] AO-S028 AO-S029 AO-S030 to AOF007
# [CHG] add 0.0001 to GPS of AO-S151 AO-S152 AO-S153, change filed id of them to AOF049
# [CHG] remove sample AO-S059 according to Dina mail which was missing
# Sample number	Date dd/mm/yyyy	Region	District	Locality	Field number	Latitude (South)	Longitude (East)	Altitude (m)	Crop age (months)	Field size m2	Photo No. field	Photo No. plant	Photo No. leaf	Intercrop	Cultivar/ species	Notes 1	Notes 2	Notes 3
AO-S001	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4207.jpg	IMG_4208.jpg	cassava	Calofio	field owner Antonio Caliquewara		
AO-S002	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4209.jpg	IMG_4210.jpg			soba: Laurindo Sanjo		
AO-S003	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4211.jpg	IMG_4212.jpg					
AO-S004	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4213.jpg	IMG_4215.jpg		Nacossange			
AO-S005	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4216.jpg	IMG_4217.jpg					
AO-S006	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4218.jpg	IMG_4219.jpg					
AO-S007	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4220.jpg	IMG_4221.jpg		Viana			
AO-S008	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4222.jpg	IMG_4223.jpg					
AO-S009	22/03/2013	Huambo	Bailundo	Santa Esperanza 1	AOF001	-12.03325	15.82521667	1500	3	10000	IMG_4226.jpg	IMG_4224.jpg	IMG_4225.jpg					
AO-S010	22/03/2013	Huambo	Londuimbali	Ejola	AOF002	-12.2437	15.42438333	1720	2	1000	IMG_4237.jpg	IMG_4231.jpg	IMG_4232.jpg		Chibia	Sra Nyimanjo		
AO-S011	22/03/2013	Huambo	Londuimbali	Ejola	AOF002	-12.2437	15.42438333	1720	2	1000	IMG_4237.jpg	IMG_4233.jpg	IMG_4234.jpg					
AO-S012	22/03/2013	Huambo	Londuimbali	Ejola	AOF002	-12.2437	15.42438333	1720	2	1000	IMG_4237.jpg	IMG_4235.jpg	IMG_4236.jpg					
AO-S013	22/03/2013	Huambo	Londuimbali	Coqueta	AOF003	-12.27226667	14.24616667	1608	6	100	IMG_4245.jpg	IMG_4239.jpg	IMG_4240.jpg		.	.		
AO-S014	22/03/2013	Huambo	Londuimbali	Coqueta	AOF003	-12.27226667	14.24616667	1608	6	100	IMG_4245.jpg	IMG_4241.jpg	IMG_4242.jpg					
AO-S015	22/03/2013	Huambo	Londuimbali	Coqueta	AOF003	-12.27226667	14.24616667	1608	6	100	IMG_4245.jpg	IMG_4243.jpg	IMG_4244.jpg					
AO-S016	26/03/2013	Huila	Caluquembe	Sede	AOF004	-13.77305	14.6363	1743	2	500		IMG_4258.jpg	IMG_4259.jpg			only 2 plants because I was in the wrong field where owner absent		
AO-S017	26/03/2013	Huila	Caluquembe	Sede	AOF004	-13.77305	14.6363	1743	2	500		IMG_4260.jpg	IMG_4261.jpg					
#AO-S018											.	.	.					
AO-S019	26/03/2013	Huila	Caluquembe	Nazaro	AOF005	-13.73775	14.6129	1718	4	300	IMG_4268.jpg	IMG_4262.jpg	IMG_4263.jpg	maize	Catendo	Manuel Vidiena		
