Sample	Reference virus	Genus	Description	%Identity
AO-S001	FJ560943	badnavirus	Sweet potato badnavirus A	87.24
AO-S001	FJ560944	badnavirus	Sweet potato badnavirus B	90.58
AO-S001	JQ902104	badnavirus	Sweet potato badnavirus C	88.32
AO-S001	AF016366	potyvirus	Sweet potato feathery mottle virus	98.63
AO-S001	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S002	FJ560943	badnavirus	Sweet potato badnavirus A	86.52
AO-S002	FJ560944	badnavirus	Sweet potato badnavirus B	86.73
AO-S002	JQ902104	badnavirus	Sweet potato badnavirus C	95.71
AO-S002	AF016366	potyvirus	Sweet potato feathery mottle virus	95.12
AO-S002	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S003	FJ560943	badnavirus	Sweet potato badnavirus A	88.11
AO-S003	KF836892	badnavirus	Sweet potato badnavirus B	94.4
AO-S003	JQ902104	badnavirus	Sweet potato badnavirus C	84.27
AO-S003	AF016366	potyvirus	Sweet potato feathery mottle virus	91.06
AO-S003	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S003	JN613807	potyvirus	Sweet potato virus 2	71.55
AO-S003	KF386015	potyvirus	Sweet potato virus C	68.5
AO-S003	KF790759	potyvirus	Sweet potato virus G	71.87
AO-S006	FJ560943	badnavirus	Sweet potato badnavirus A	86.31
AO-S006	KF836892	badnavirus	Sweet potato badnavirus B	89.18
AO-S006	JQ902104	badnavirus	Sweet potato badnavirus C	93.31
AO-S006	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	97.02
AO-S006	AF016366	potyvirus	Sweet potato feathery mottle virus	91.65
AO-S006	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
AO-S006	JN613807	potyvirus	Sweet potato virus 2	72.91
AO-S006	KF386015	potyvirus	Sweet potato virus C	71.76
AO-S006	JN613805	potyvirus	Sweet potato virus G	72.21
AO-S011	FJ560943	badnavirus	Sweet potato badnavirus A	92.82
AO-S011	FJ560944	badnavirus	Sweet potato badnavirus B	91.66
AO-S011	JQ902104	badnavirus	Sweet potato badnavirus C	94.93
AO-S011	HQ393460	begomovirus	Sweet potato leaf curl virus	93.26
AO-S011	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S012	EU839578	begomovirus	Ipomoea yellow vein virus	93.33
AO-S012	DQ644561	begomovirus	Merremia leaf curl virus	92.36
AO-S012	FJ560943	badnavirus	Sweet potato badnavirus A	94.84
AO-S012	FJ560944	badnavirus	Sweet potato badnavirus B	93.14
AO-S012	JQ902104	badnavirus	Sweet potato badnavirus C	96
AO-S012	GQ268231	begomovirus	Sweet potato begomovirus	95.6
AO-S012	HQ393457	begomovirus	Sweet potato golden vein associated virus	93.12
AO-S012	HQ393464	begomovirus	Sweet potato leaf curl virus	93.84
AO-S012	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S016	FJ560944	badnavirus	Sweet potato badnavirus B	95.53
AO-S016	JQ902104	badnavirus	Sweet potato badnavirus C	94.79
AO-S016	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S017	FJ560943	badnavirus	Sweet potato badnavirus A	86.31
AO-S017	KF836892	badnavirus	Sweet potato badnavirus B	90.92
AO-S017	JQ902104	badnavirus	Sweet potato badnavirus C	84.79
AO-S017	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S019	FJ560943	badnavirus	Sweet potato badnavirus A	76.82
AO-S019	KF836892	badnavirus	Sweet potato badnavirus B	82.98
AO-S019	JQ902104	badnavirus	Sweet potato badnavirus C	81.82
AO-S020	EU847625	potyvirus	Lupine mosaic virus	68.99
AO-S020	FM883164	potyvirus	Maize dwarf mosaic virus	69.16
AO-S020	JQ911732	potyvirus	Narcissus yellow stripe virus	70.39
AO-S020	FJ560943	badnavirus	Sweet potato badnavirus A	81.58
AO-S020	KF836892	badnavirus	Sweet potato badnavirus B	89.15
AO-S020	JQ902103	badnavirus	Sweet potato badnavirus C	86.1
AO-S020	AF016366	potyvirus	Sweet potato feathery mottle virus	93.18
AO-S020	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S020	JN613807	potyvirus	Sweet potato virus 2	74.91
AO-S020	JX489166	potyvirus	Sweet potato virus C	72.38
AO-S020	JN613805	potyvirus	Sweet potato virus G	76.56
AO-S020	EU660584	potyvirus	Watermelon mosaic virus	70.14
AO-S020	U42596	potyvirus	Yam mosaic virus	71.09
AO-S021	FJ560943	badnavirus	Sweet potato badnavirus A	76.07
AO-S021	KF836892	badnavirus	Sweet potato badnavirus B	84.03
AO-S021	JQ902104	badnavirus	Sweet potato badnavirus C	76.69
AO-S021	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	98.9
AO-S022	JQ902104	badnavirus	Sweet potato badnavirus C	86.27
AO-S022	AY523547	potyvirus	Sweet potato feathery mottle virus	96.24
AO-S022	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S022	JN613807	potyvirus	Sweet potato virus 2	76.34
AO-S022	KF386015	potyvirus	Sweet potato virus C	79.63
AO-S022	JN613805	potyvirus	Sweet potato virus G	79.82
AO-S058	FJ560944	badnavirus	Sweet potato badnavirus B	95.12
AO-S058	JQ902104	badnavirus	Sweet potato badnavirus C	83.67
AO-S058	AY523547	potyvirus	Sweet potato feathery mottle virus	96.75
AO-S065	JN657686	begomovirus	Sweet potato leaf curl virus	96.07
AO-S065	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S068	FJ560943	badnavirus	Sweet potato badnavirus A	95.77
AO-S068	KF836892	badnavirus	Sweet potato badnavirus B	96.22
AO-S068	JQ902104	badnavirus	Sweet potato badnavirus C	84.62
AO-S068	JQ775877	potyvirus	Sweet potato feathery mottle virus	95.11
AO-S068	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S068	JN613807	potyvirus	Sweet potato virus 2	71.92
AO-S068	KF386015	potyvirus	Sweet potato virus C	70.27
AO-S068	JN613805	potyvirus	Sweet potato virus G	71.62
AO-S075	FJ560943	badnavirus	Sweet potato badnavirus A	86.15
AO-S075	KF836892	badnavirus	Sweet potato badnavirus B	89.78
AO-S075	JQ902104	badnavirus	Sweet potato badnavirus C	92.41
AO-S075	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S083	JQ902104	badnavirus	Sweet potato badnavirus C	95.49
AO-S083	AF016366	potyvirus	Sweet potato feathery mottle virus	96.01
AO-S083	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S085	FJ439797	badnavirus	Sugarcane bacilliform virus	73.04
AO-S085	FJ560943	badnavirus	Sweet potato badnavirus A	78.01
AO-S085	KF836892	badnavirus	Sweet potato badnavirus B	84.68
AO-S085	JQ902104	badnavirus	Sweet potato badnavirus C	94.95
AO-S085	D86371	potyvirus	Sweet potato feathery mottle virus	95.44
AO-S085	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S086	JQ902104	badnavirus	Sweet potato badnavirus C	99.76
AO-S086	FJ807785	crinivirus	Sweet potato chlorotic stunt virus	99.38
AO-S086	AF016366	potyvirus	Sweet potato feathery mottle virus	94.99
AO-S087	KF386729	badnavirus	Banana streak virus	77.78
AO-S087	FJ560943	badnavirus	Sweet potato badnavirus A	85.95
AO-S087	FJ560944	badnavirus	Sweet potato badnavirus B	92.14
AO-S087	JQ902104	badnavirus	Sweet potato badnavirus C	86.33
AO-S088	AY523547	potyvirus	Sweet potato feathery mottle virus	94.39
AO-S089	FJ560943	badnavirus	Sweet potato badnavirus A	77.83
AO-S089	KF836892	badnavirus	Sweet potato badnavirus B	85.35
AO-S089	JQ902104	badnavirus	Sweet potato badnavirus C	85.99
AO-S089	JQ775877	potyvirus	Sweet potato feathery mottle virus	95.19
AO-S089	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S089	JN613807	potyvirus	Sweet potato virus 2	73.47
AO-S089	JX489166	potyvirus	Sweet potato virus C	74.11
AO-S089	JN613805	potyvirus	Sweet potato virus G	73.38
AO-S095	EU130910	badnavirus	Citrus yellow mosaic virus	78.17
AO-S095	FJ439797	badnavirus	Sugarcane bacilliform virus	80.51
AO-S095	FJ560943	badnavirus	Sweet potato badnavirus A	94.1
AO-S095	FJ560944	badnavirus	Sweet potato badnavirus B	92.94
AO-S095	JQ902104	badnavirus	Sweet potato badnavirus C	84.92
AO-S095	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S098	FJ560943	badnavirus	Sweet potato badnavirus A	78.9
AO-S098	KF836892	badnavirus	Sweet potato badnavirus B	84.23
AO-S098	JQ902104	badnavirus	Sweet potato badnavirus C	90.26
AO-S098	EF155987	potyvirus	Sweet potato feathery mottle virus	91.73
AO-S098	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S104	FJ560943	badnavirus	Sweet potato badnavirus A	86.23
AO-S104	KF836892	badnavirus	Sweet potato badnavirus B	89.48
AO-S104	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
AO-S104	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S107	FJ560943	badnavirus	Sweet potato badnavirus A	89.26
AO-S107	KF836892	badnavirus	Sweet potato badnavirus B	92.86
AO-S107	JQ902104	badnavirus	Sweet potato badnavirus C	95.45
AO-S107	AY523547	potyvirus	Sweet potato feathery mottle virus	98.37
AO-S107	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S107	JN613807	potyvirus	Sweet potato virus 2	74.2
AO-S107	GU207957	potyvirus	Sweet potato virus C	77.8
AO-S107	JN613805	potyvirus	Sweet potato virus G	74.66
AO-S109	AJ132548	begomovirus	Ipomoea yellow vein virus	93.13
AO-S109	DQ644561	begomovirus	Merremia leaf curl virus	92.51
AO-S109	KF836892	badnavirus	Sweet potato badnavirus B	99.11
AO-S109	JQ902104	badnavirus	Sweet potato badnavirus C	95.41
AO-S109	AY523547	potyvirus	Sweet potato feathery mottle virus	97.42
AO-S109	KF803170	begomovirus	Sweet potato golden vein associated virus	93.51
AO-S109	JN657686	begomovirus	Sweet potato leaf curl virus	94.74
AO-S109	FJ969831	begomovirus	Sweet potato mosaic virus	93.31
AO-S109	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S109	KF386015	potyvirus	Sweet potato virus C	96.25
AO-S110	DQ174243	potyvirus	Carrot virus Y	73.78
AO-S110	FJ560944	badnavirus	Sweet potato badnavirus B	78.95
AO-S110	JQ902104	badnavirus	Sweet potato badnavirus C	91.62
AO-S110	HQ694978	cavemovirus	Sweet potato caulimo-like virus	97.69
AO-S110	AF016366	potyvirus	Sweet potato feathery mottle virus	93.24
AO-S110	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S110	HQ694979	solendovirus	Sweet potato vein clearing virus	97.11
AO-S111	EU839578	begomovirus	Ipomoea yellow vein virus	94.69
AO-S111	FJ560943	badnavirus	Sweet potato badnavirus A	77.88
AO-S111	KF836892	badnavirus	Sweet potato badnavirus B	87.27
AO-S111	JQ902104	badnavirus	Sweet potato badnavirus C	86.51
AO-S111	HQ393457	begomovirus	Sweet potato golden vein associated virus	95.05
AO-S111	EF456743	begomovirus	Sweet potato leaf curl virus	96.66
AO-S111	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S112	FJ560943	badnavirus	Sweet potato badnavirus A	80.53
AO-S112	KF836892	badnavirus	Sweet potato badnavirus B	97.82
AO-S112	JQ902104	badnavirus	Sweet potato badnavirus C	90.12
AO-S112	AF016366	potyvirus	Sweet potato feathery mottle virus	91.64
AO-S112	HQ393464	begomovirus	Sweet potato leaf curl virus	96.97
AO-S112	HQ694979	solendovirus	Sweet potato vein clearing virus	97.46
AO-S112	JN613807	potyvirus	Sweet potato virus 2	72.47
AO-S112	GU207957	potyvirus	Sweet potato virus C	73.04
AO-S112	JN613805	potyvirus	Sweet potato virus G	71.78
AO-S113	HQ694979	solendovirus	Sweet potato vein clearing virus	96.77
AO-S119	D00385	cucumovirus	Cucumber mosaic virus	97.68
AO-S120	FJ439793	badnavirus	Sugarcane bacilliform virus	78.95
AO-S120	FJ560943	badnavirus	Sweet potato badnavirus A	96.34
AO-S120	KF836892	badnavirus	Sweet potato badnavirus B	97.37
AO-S120	JQ902104	badnavirus	Sweet potato badnavirus C	89.85
AO-S120	AY523547	potyvirus	Sweet potato feathery mottle virus	98.08
AO-S120	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S121	AF016366	potyvirus	Sweet potato feathery mottle virus	94.86
AO-S128	FJ560943	badnavirus	Sweet potato badnavirus A	76.63
AO-S128	FJ560944	badnavirus	Sweet potato badnavirus B	79.08
AO-S128	JQ902104	badnavirus	Sweet potato badnavirus C	89.51
AO-S128	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S128	HQ694979	solendovirus	Sweet potato vein clearing virus	96.39
AO-S131	FJ560943	badnavirus	Sweet potato badnavirus A	95.81
AO-S131	FJ560944	badnavirus	Sweet potato badnavirus B	94.58
AO-S131	AF016366	potyvirus	Sweet potato feathery mottle virus	95.21
AO-S143	KF803546	mitovirus	Fusarium circinatum mitovirus 1	81.34
AO-S143	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	95.36
AO-S143	FJ560943	badnavirus	Sweet potato badnavirus A	86.78
AO-S143	KF836892	badnavirus	Sweet potato badnavirus B	92.6
AO-S143	JQ902104	badnavirus	Sweet potato badnavirus C	83.11
AO-S143	AF016366	potyvirus	Sweet potato feathery mottle virus	97.71
AO-S151	FJ560943	badnavirus	Sweet potato badnavirus A	86.67
AO-S151	KF836892	badnavirus	Sweet potato badnavirus B	87.13
AO-S151	JQ902104	badnavirus	Sweet potato badnavirus C	84.17
AO-S151	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S154	FJ560943	badnavirus	Sweet potato badnavirus A	92.2
AO-S154	FJ560944	badnavirus	Sweet potato badnavirus B	87.59
AO-S154	JQ902104	badnavirus	Sweet potato badnavirus C	83.65
AO-S154	AF016366	potyvirus	Sweet potato feathery mottle virus	90.04
AO-S154	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
AO-S154	JN613807	potyvirus	Sweet potato virus 2	72.11
AO-S154	KF386015	potyvirus	Sweet potato virus C	70.39
AO-S154	JN613805	potyvirus	Sweet potato virus G	72.07
AO-S160	FJ560943	badnavirus	Sweet potato badnavirus A	77.58
AO-S160	KF836892	badnavirus	Sweet potato badnavirus B	85.75
AO-S160	JQ902104	badnavirus	Sweet potato badnavirus C	87.25
AO-S160	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S172	FJ439797	badnavirus	Sugarcane bacilliform virus	79.69
AO-S172	FJ560943	badnavirus	Sweet potato badnavirus A	86.38
AO-S172	KF836892	badnavirus	Sweet potato badnavirus B	89.99
AO-S172	JQ902104	badnavirus	Sweet potato badnavirus C	85.17
AO-S172	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
AO-S178	FJ560943	badnavirus	Sweet potato badnavirus A	87.81
AO-S178	FJ560944	badnavirus	Sweet potato badnavirus B	88.4
AO-S185	FJ560943	badnavirus	Sweet potato badnavirus A	99.38
AO-S185	FJ560944	badnavirus	Sweet potato badnavirus B	99.33
AO-S185	JQ902104	badnavirus	Sweet potato badnavirus C	96
AO-S185	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
BE-S001	JQ902104	badnavirus	Sweet potato badnavirus C	95.14
BE-S001	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
BE-S002	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.54
